Complexity,Loss,Equation
1,1179.9613,"y"
3,1114.185,"y - x"
5,1.0296351e-11,"(y - x) * 10.0"
7,1.0259663e-11,"((y + 3.0741177e-8) - x) * 10.0"
9,9.701582e-12,"(((y - x) * 3.7096484) - 2.5290174e-8) * 2.6956732"
11,9.665767e-12,"(10.0 - ((y - -1.6725281) * 2.4133215e-8)) * (y - x)"
13,9.5200575e-12,"2.4133215e-8 - ((((0.7494022 + y) * 2.4133215e-8) - 10.0) * (y - x))"
15,9.471551e-12,"2.4133215e-8 - ((((y + exp(sin(z))) * 2.4133215e-8) - 10.0) * (y - x))"
17,9.3773106e-12,"((y + ((y - x) - (x - y))) - y) + ((y - x) * 8.0)"
18,8.850254e-12,"(10.0 - (((sin((y / -1.3765285) - -1.332033) * -1.9306885e-8) * y) / 0.54789144)) * (y - x)"
20,8.792652e-12,"(10.0 - (((sin((y / -1.3765285) - -1.3765285) * (y * -4.605592e-8)) / 1.3069766) + -1.9306885e-8)) * (y - x)"
