Complexity,Loss,Equation
1,3400.909,"2.0069501"
3,3121.7605,"y - x"
4,2852.9226,"exp(-0.3137517 * x)"
5,13.755339,"x * (26.99933 - z)"
7,5.4033885e-11,"(x * (28.0 - z)) - y"
9,4.9499654e-11,"(x - y) + ((27.0 - z) * x)"
11,4.794591e-11,"(x * (27.0 - z)) + (x + (1.4897271e-6 - y))"
13,4.2224776e-11,"x + ((-0.007973251 - y) + (((27.0 - z) * x) - -0.007973251))"
19,4.1380264e-11,"(((((z * -1.0) - -28.9395) * x) + (x - (y + -0.86809444))) + (x * -1.9395008)) + -0.8680944"
24,3.7594514e-11,"(((exp(-27.086443 - x) + (x - (y + -0.86809444))) + (x * -1.9395008)) + (x * ((z * -1.0) - -28.9395))) + -0.86809444"
