Complexity,Loss,Equation
1,3400.9092,"2.0013855"
3,3121.7605,"y - x"
4,2853.0916,"exp(-0.3150277 * x)"
5,13.755768,"x * (26.996756 - z)"
7,6.155662,"x * ((z + -26.903574) * -0.95311904)"
9,4.9499654e-11,"(x - y) - (x * (z + -27.0))"
11,4.1867964e-11,"((0.92945296 * x) - y) - ((z + -27.070547) * x)"
13,4.1091863e-11,"((x * 0.92945296) - y) - (((z - 2.4547944e-7) + -27.070547) * x)"
16,3.599869e-11,"((0.92945296 * x) - y) - ((x * (-27.070547 + z)) + (-2.3877855e-12 / exp(x)))"
18,3.5807697e-11,"(1.8131174e-12 / exp(x)) + ((x * (-1.0 * (z + -27.070547))) + ((x * 0.92945296) - y))"
22,3.5064944e-11,"((x * 0.92945296) - y) + (((x / y) * (1.8131174e-12 / exp(x))) + ((x * -1.0) * (z + -27.070547)))"
