Complexity,Loss,Equation
1,4355.287,"1.2523743"
2,4353.339,"sin(x)"
3,4301.3604,"y / x"
4,3146.641,"exp(y * -0.2653363)"
5,420.34125,"-65.40411 + (y * x)"
7,2.7477605e-11,"(y * x) - (2.6666667 * z)"
9,2.5563877e-11,"((x * y) + 1.2563698e-6) - (z * 2.6666667)"
11,2.1494742e-11,"(z * -0.6666667) + ((x * y) - (z + z))"
13,1.951176e-11,"(z * -0.40612832) + ((y * x) - (z + (z * 1.2605383)))"
15,1.7980634e-11,"((x * y) - (z + z)) + ((x * -9.097023e-8) + (z * -0.6666667))"
17,1.3889661e-11,"(((-0.0022658268 + x) * y) - (z + z)) + ((z * -0.6666667) + (y * 0.0022657604))"
19,1.37926484e-11,"((((x + -0.0022658221) * y) + -1.197804e-7) - (z + z)) + ((y * 0.0022657607) + (z * -0.6666667))"
21,1.2885665e-11,"(((z - (y * 5.9821915e-8)) * -0.6666667) + (y * 0.0022657604)) + ((y * (x + -0.0022658268)) - (z + z))"
23,1.264839e-11,"((y * 0.0022657604) + ((z * -0.6666667) + ((5.026103 - x) * -5.8322627e-8))) + (((x + -0.0022658268) * y) - (z + z))"
28,1.2506282e-11,"((y * 0.0022657604) + (-0.6666667 * (z - ((((2.6841035 * x) * sin(x)) - y) * -5.8322627e-8)))) + ((y * (x + -0.0022658268)) - (z + z))"
29,1.239809e-11,"(((x + -0.0022658268) * y) - (z + z)) + ((y * 0.0022657604) + ((((z + (x + ((y * -6.294867e-8) - x))) + x) - x) * -0.6666667))"
30,1.1735011e-11,"((y * 0.0022657604) + ((z * -0.6666667) - ((x + x) * (sin((y / -0.6747874) + 2.5756257) * -5.8322627e-8)))) + (((x + -0.0022658268) * y) - (z + z))"
